"R0000100","R1235800","R1236201","R2600401","R3958501","R5510700","R7274300","S1598200","S2067100","S3861700","S5444300","S7545600","T0042200","T2022600","T3613400","T5213300","T6665100","T8136000","U0017200","U1855500","U3455600"
5606,1,277786,299019,308317,313529,323206,334041,341952,361788,379962,390327,398741,409847,418968,434406,438404,458967,472169,507458,523951
5607,1,160251,165664,167844,177847,188479,193278,210748,233136,256798,266663,286098,301178,304852,304852,312247,325557,344137,376602,404039
5608,1,147340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5609,1,102461,108192,116788,127120,135260,147156,147156,158551,178399,187819,187819,193191,193191,0,0,0,0,0,0
5610,1,99214,103845,109186,118835,122937,129498,131830,132909,135180,136319,137433,138590,138590,141185,141185,145549,149822,169212,175187
5611,1,102461,108192,116788,127120,135260,147156,147156,158551,178399,187819,187819,193191,193191,196052,204163,218361,235647,240082,0
5612,1,93748,96723,102783,111463,117735,123132,130744,150200,163079,166320,176063,182214,182214,182214,184145,188312,190374,201865,201865
5613,1,100244,111198,123740,130512,135891,138493,139957,144023,151798,151798,156328,161250,161250,165163,165163,166864,168540,179462,183751
5614,1,281341,306170,317440,332124,350697,363462,375453,396687,425447,440131,455744,470886,489212,499732,511013,555525,573917,0,0
5615,1,261636,284301,300793,319052,338162,353578,365249,384604,412730,420609,436789,456210,467262,475327,480321,491826,511147,534389,550299
5616,1,275578,296642,305867,311037,320637,331385,339234,358912,376942,387225,395571,406589,415638,430953,434919,455318,468415,503424,519786
5617,1,286917,295046,304136,312839,322033,333352,340384,363418,380724,398637,412392,425932,440203,451442,463259,496530,514674,551916,574159
5618,1,320649,346515,374460,403452,420135,438972,469065,507556,525670,534508,550138,561882,568941,579208,589228,608366,634512,662558,689982
5619,1,298759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5620,1,270278,290937,299985,305055,314471,325013,332710,352010,369693,379778,387964,0,0,0,0,0,0,0,0
5621,1,97883,99530,101196,103836,105988,106826,108717,109817,109817,109817,112764,112764,112764,113676,116188,118198,118198,0,0
5622,1,97883,99530,101196,103836,105988,106826,108717,109817,109817,109817,112764,112764,112764,113676,116188,118198,118198,120220,121310
5623,1,102097,102097,105458,113336,120787,126714,126714,127806,134706,136014,137293,138868,140178,140178,143652,146980,148574,153573,158880
